DC Number,DC Key,Location,Theft Date,Theft Year,District,Stolen Value,Theft Hour,UCR,Latitude,Longitude,Location 1
14848,201001000000,2100 BLOCK S BROAD ST,04/16/2010 12:00:00 AM,2010,1,150,0,625,39.9242733,-75.16977545,"(39.9242733, -75.16977545)"
16330,201001000000,S 2100 MCKEAN ST,04/24/2010 12:00:00 AM,2010,1,215,17,615,39.9270745,-75.1809054,"(39.9270745, -75.1809054)"
23568,201001000000,2700 BLOCK SNYDER AVE,06/06/2010 12:00:00 AM,2010,1,120,11,625,39.9271197,-75.19103415,"(39.9271197, -75.19103415)"
28556,201001000000,2100 BLOCK S GARNET ST,07/08/2010 12:00:00 AM,2010,1,200,15,615,39.9254113,-75.17825736,"(39.9254113, -75.17825736)"
29047,201001000000,2100 BLOCK S 15TH ST,07/11/2010 12:00:00 AM,2010,1,75,11,625,39.9241409,-75.17145694,"(39.9241409, -75.17145694)"
29571,201001000000,S 26TH ST / MC KEAN ST,07/14/2010 12:00:00 AM,2010,1,100,21,625,39.9281383,-75.18917658,"(39.9281383, -75.18917658)"
29788,201001000000,1900 BLOCK SHUNK ST,07/16/2010 12:00:00 AM,2010,1,100,10,625,39.9192551,-75.17952458,"(39.9192551, -75.17952458)"
31540,201001000000,1900 BLOCK S 22ND ST,07/27/2010 12:00:00 AM,2010,1,200,16,615,39.9283432,-75.18224863,"(39.9283432, -75.18224863)"
33377,201001000000,2500 BLOCK S 16TH ST,08/08/2010 12:00:00 AM,2010,1,150,18,625,39.9194765,-75.17409487,"(39.9194765, -75.17409487)"
34130,201001000000,2200 BLOCK MIFFLIN ST,08/13/2010 12:00:00 AM,2010,1,200,21,615,39.9284996,-75.18224272,"(39.9284996, -75.18224272)"
35596,201001000000,2400 BLOCK S 24TH ST,08/23/2010 12:00:00 AM,2010,1,150,20,625,39.9221325,-75.1869774,"(39.9221325, -75.1869774)"
36219,201001000000,2400 BLOCK S ROSEWOOD ST,08/27/2010 12:00:00 AM,2010,1,200,20,615,39.9205986,-75.17123462,"(39.9205986, -75.17123462)"
38610,201001000000,S 18TH ST  / MIFFLIN ST,09/12/2010 12:00:00 AM,2010,1,100,17,625,39.9276524,-75.17556858,"(39.9276524, -75.17556858)"
39981,201001000000,16TH JACKSON ST,09/21/2010 12:00:00 AM,2010,1,129,20,625,39.925052,-75.19065091,"(39.925052, -75.19065091)"
40645,201001000000,2400 BLOCK RITNER ST,09/26/2010 12:00:00 AM,2010,1,270,17,615,39.9229015,-75.18784012,"(39.9229015, -75.18784012)"
41791,201001000000,1400 BLOCK SNYDER AV,10/04/2010 12:00:00 AM,2010,1,180,10,625,39.9244968,-75.1705517,"(39.9244968, -75.1705517)"
42467,201001000000,S 23RD ST / W PASSYUNK AV,10/09/2010 12:00:00 AM,2010,1,1900,16,615,39.9225846,-75.18521261,"(39.9225846, -75.18521261)"
45934,201001000000,2000 BLOCK S 22ND ST,11/01/2010 12:00:00 AM,2010,1,50,14,625,39.9267087,-75.18259574,"(39.9267087, -75.18259574)"
46685,201001000000,1900 BLOCK S 16TH ST,11/06/2010 12:00:00 AM,2010,1,700,16,615,39.9269316,-75.17245686,"(39.9269316, -75.17245686)"
47298,201001000000,2000 BLOCK S 26TH ST,11/11/2010 12:00:00 AM,2010,1,1000,8,615,39.9278812,-75.18922194,"(39.9278812, -75.18922194)"
47808,201001000000,1800 BLOCK SNYDER AVE,11/13/2010 12:00:00 AM,2010,1,1500,22,615,39.9253536,-75.17715378,"(39.9253536, -75.17715378)"
4173,201002000000,800 BLOCK BLEIGH AV,01/15/2010 12:00:00 AM,2010,2,200,18,615,40.0642134,-75.0843515,"(40.0642134, -75.0843515)"
6111,201002000000,2300 BLOCK COTTMAN AV,01/26/2010 12:00:00 AM,2010,2,100,16,625,40.0475099,-75.05949275,"(40.0475099, -75.05949275)"
13771,201002000000,1400 BLOCK STEVENS ST,03/01/2010 12:00:00 AM,2010,2,300,18,615,40.0360411,-75.07938418,"(40.0360411, -75.07938418)"
23095,201002000000,6600 BLOCK KINDRED ST,04/07/2010 12:00:00 AM,2010,2,80,14,625,40.0409394,-75.07190211,"(40.0409394, -75.07190211)"
23643,201002000000,900 BLOCK GRANITE ST,04/09/2010 12:00:00 AM,2010,2,100,18,625,40.0310843,-75.09111889,"(40.0310843, -75.09111889)"
25537,201002000000,7300 BLOCK CLARIDGE ST,04/16/2010 12:00:00 AM,2010,2,700,19,615,40.0594856,-75.07921179,"(40.0594856, -75.07921179)"
26726,201002000000,6000 BLOCK ALMA ST,04/20/2010 12:00:00 AM,2010,2,90,13,625,40.0351148,-75.08277913,"(40.0351148, -75.08277913)"
26912,201002000000,1400 BLOCK GREEBY ST,04/22/2010 12:00:00 AM,2010,2,0,5,625,40.0419019,-75.07725971,"(40.0419019, -75.07725971)"
38729,201002000000,6400 BLOCK BUSTLETON AV,06/06/2010 12:00:00 AM,2010,2,100,0,625,40.0356502,-75.07050304,"(40.0356502, -75.07050304)"
39836,201002000000,7700 BLOCK WATSON ST,06/08/2010 12:00:00 AM,2010,2,200,13,615,40.069051,-75.08215957,"(40.069051, -75.08215957)"
41798,201002000000,7000 BLOCK SUMMERDALE AVE,06/18/2010 12:00:00 AM,2010,2,350,21,615,40.0498171,-75.07573286,"(40.0498171, -75.07573286)"
48849,201002000000,400 BLOCK COMLY ST,07/17/2010 12:00:00 AM,2010,2,99,16,625,40.0466966,-75.10405047,"(40.0466966, -75.10405047)"
51546,201002000000,6400 BLOCK MONTOUR ST,07/29/2010 12:00:00 AM,2010,2,1800,18,615,40.0467405,-75.08989787,"(40.0467405, -75.08989787)"
52054,201002000000,6500 BLOCK CASTOR AV,07/31/2010 12:00:00 AM,2010,2,100,19,625,40.0411133,-75.07582576,"(40.0411133, -75.07582576)"
55163,201002000000,2000 BLOCK GRIFFITH ST,08/12/2010 12:00:00 AM,2010,2,250,17,615,40.059851,-75.05768083,"(40.059851, -75.05768083)"
56004,201002000000,4600 BLOCK E ROOSEVELT BLVD,08/18/2010 12:00:00 AM,2010,2,100,19,625,40.0283463,-75.09944288,"(40.0283463, -75.09944288)"
